cutoff,Cat specialist a0.25,Cat specialist a0.50,Cat specialist a0.75,Cat specialist a1.00,Current ensemble,LGB specialist a0.25,LGB specialist a0.50,LGB specialist a0.75,LGB specialist a1.00,Pure CatBoost a0.50
2024-09-21,0.17690177919540473,0.17861774897406238,0.18273463509677518,0.18985780013834927,0.17666172308182074,0.18233092308324977,0.1894446778912926,0.19899138070301123,0.2106241906380211,0.18998766351587487
2024-10-21,0.18769239546553343,0.1805038356809388,0.1744178469550294,0.17000726817284753,0.17658436944085096,0.18636006027626853,0.17797744340501623,0.17134676173013375,0.16742004374401437,0.1944914640800821
2024-11-20,0.18744612627662505,0.1870946262779396,0.18973558727891857,0.19705201493351085,0.18588215868167804,0.18449791208345814,0.18396545376388895,0.19159784637163693,0.2040006704663343,0.19295325835946736
2024-12-20,0.1567368825374005,0.15356451624754427,0.1522677041455131,0.15286217797765023,0.15227978390838887,0.1529451620717088,0.14839550019471343,0.1475625214872279,0.15060438715445953,0.1534154058974659
2025-01-19,0.13950103311663956,0.1403739390791359,0.1429874082065632,0.14733160225500433,0.14224169644777143,0.1404828567036694,0.1450577344996491,0.1564928112562211,0.17131332030363566,0.1400667650738734
2025-02-18,0.22358461901843446,0.23445099097806013,0.24677492853143565,0.2601513889630769,0.24067967821471573,0.22473446412260603,0.2386283615951483,0.25485359343669145,0.2730389217370577,0.2447686698320119
2025-03-20,0.11590285718902436,0.11474546049081312,0.11376087921400883,0.11296685788680341,0.11631974401989409,0.11768466366652555,0.11837577495498702,0.11935795076828253,0.12068301659698123,0.11414292318676958
2025-04-20,0.15423627125238062,0.15146054767612646,0.14954829610669404,0.14862575260281954,0.15388152057330218,0.15259410822167982,0.1481868165089935,0.14459721075087553,0.14171551631610374,0.1546886963733105
2025-05-21,0.2875941630392959,0.28412884214025036,0.28182962677066337,0.2806066606675699,0.28657200529579063,0.2868187458714129,0.28292214223596884,0.2810658796722637,0.2817037839622397,0.28421561054839534
2025-06-21,0.29144176365423013,0.29932922655324345,0.3081635226660173,0.3175396279997858,0.29632778889224015,0.29153512032435935,0.29939510333808295,0.30782519374493433,0.3167056685249869,0.2941343253935767
2025-07-22,0.19380130370694273,0.19247533111669307,0.19161606856875277,0.19116347131409953,0.19300021284028582,0.1934036422099234,0.19193503732779052,0.19118966344079918,0.19119522013572327,0.1942372269177009
2025-08-22,0.24640035861389076,0.23853165628214573,0.23199990840306106,0.22703615211522424,0.24171138592677635,0.2411538935155324,0.22939661266785272,0.2205732968174251,0.2146734626850883,0.23694711953057776
2025-09-22,0.13592135480630652,0.1310136383446104,0.12752996750990886,0.12567344337813288,0.13526512641951688,0.13695772742372828,0.13285639857760081,0.12960894094945072,0.12732398373662596,0.13370989434824732
