gamma,pooled_WAPE,mean_cutoff_WAPE,median_cutoff_WAPE,wins_vs_no_cluster,wins_vs_Structural_V1,worst_degradation_vs_no_cluster,worst_degradation_cutoff,best_improvement_vs_no_cluster,best_improvement_cutoff
0.0,0.19168710461471739,0.19444300177364254,0.19295325835946736,0,9,-0.0,2024-09-21,0.0,2024-09-21
0.25,0.19126680269866211,0.1938141073480416,0.19070286119625104,9,9,0.002482453860356726,2025-06-21,0.003788602883831066,2024-10-21
0.5,0.19103770185758562,0.19339719447414397,0.187123929400614,9,9,0.00514330771155197,2025-06-21,0.007367534679468102,2024-10-21
0.75,0.1909599214785689,0.19315040511229487,0.18385020287956336,9,9,0.007922896607965413,2025-06-21,0.010707652944538931,2024-10-21
1.0,0.19104699031586014,0.1930966036464845,0.1826434345853123,8,9,0.010798159417358122,2025-06-21,0.013777649904449463,2024-10-21
