cutoff,prior_oot_cutoffs,selected_gamma,prior_pooled_WAPE,no_cluster_WAPE,selected_gamma_WAPE,improvement
2024-10-21,1,1.0,0.1826434345853123,0.1944914640800821,0.18071381417563265,0.013777649904449463
2024-11-20,2,1.0,0.18182995369494073,0.19295325835946736,0.193092928130102,-0.00013966977063464836
2024-12-20,3,1.0,0.18516604487553995,0.1534154058974659,0.15179270986385254,0.001622696033613369
2025-01-19,4,1.0,0.17784951133016,0.1400667650738734,0.13855205643374832,0.0015147086401250676
2025-02-18,5,1.0,0.16943591927746457,0.2447686698320119,0.23360782724369683,0.011160842588315067
2025-03-20,6,1.0,0.1800860125795215,0.11414292318676958,0.11305074945954342,0.0010921737272261561
2025-04-20,7,1.0,0.15609723115242527,0.1546886963733105,0.1525136880959096,0.002175008277400914
2025-05-21,8,1.0,0.1556325777886994,0.28421561054839534,0.2834851106166358,0.000730499931759554
2025-06-21,9,1.0,0.17649776773783077,0.2941343253935767,0.3049324848109348,-0.010798159417358122
2025-07-22,10,1.0,0.18782598941467066,0.1942372269177009,0.19582953597986633,-0.0015923090621654257
2025-08-22,11,1.0,0.18851277822235238,0.23694711953057776,0.23823348935201338,-0.0012863698214356234
2025-09-22,12,1.0,0.1954058559542775,0.13370989434824732,0.14180801865705076,-0.00809812430880344
