rule,overall_pooled_WAPE,D15_30_WAPE,D22_30_WAPE,Top10_demand_x_D15_30_WAPE,last3_pooled_WAPE,last6_pooled_WAPE,worst_cutoff_WAPE,worst_cutoff,mean_cutoff_WAPE,median_cutoff_WAPE
Pure CatBoost a0.50,0.19168710461471739,0.2750608648544498,0.3162687883345716,0.2522138716082829,0.19610706727934876,0.2206928016322211,0.2941343253935767,2025-06-21,0.19444300177364254,0.19295325835946736
Current ensemble,0.19088067205253947,0.2734083138782487,0.31404688897523636,0.2513607503621041,0.1984544648416793,0.22258866473263123,0.29632778889224015,2025-06-21,0.19210824567254095,0.17666172308182074
Cat specialist a0.25,0.19111790807118853,0.2738944606840643,0.31198741033849303,0.2522589664278014,0.20100321537615326,0.22360600131662897,0.29144176365423013,2025-06-21,0.19208930060554685,0.18744612627662505
Cat specialist a0.50,0.1895800999575629,0.2707431664301236,0.31217823118307547,0.2474709190038747,0.19561137473052215,0.22060425415359275,0.29932922655324345,2025-06-21,0.1912531046031972,0.1805038356809388
Cat specialist a0.75,0.18923703830024272,0.27004016049597507,0.3144046299422811,0.2444208989089656,0.19136845007745923,0.2186908533162656,0.3081635226660173,2025-06-21,0.1917974138041032,0.18273463509677518
Cat specialist a1.00,0.1902310143251919,0.2720770277151189,0.3187843225042353,0.24350173945252435,0.18842580367759512,0.21789540571661156,0.3175396279997858,2025-06-21,0.19391340141575958,0.18985780013834927
LGB specialist a0.25,0.1907117807872851,0.27306221993517404,0.3123091403233527,0.2511058494661643,0.1987944722460447,0.2220549225088957,0.29153512032435935,2025-06-21,0.19165379073647093,0.18449791208345814
LGB specialist a0.50,0.18946782005994403,0.27051308115936423,0.31378331550554933,0.24677230029497602,0.19181414232342794,0.21789017299258365,0.29939510333808295,2025-06-21,0.1912720813046912,0.18396545376388895
LGB specialist a0.75,0.1903628793394368,0.2723472470344238,0.3182742744787145,0.24619086778403254,0.18661343237179676,0.21527803983540628,0.30782519374493433,2025-06-21,0.193466388548381,0.19118966344079918
LGB specialist a1.00,0.19310877888245817,0.2779741762820663,0.32556950901531084,0.24885183902563338,0.18322625555891134,0.2143007709497503,0.3167056685249869,2025-06-21,0.19776939892317474,0.19119522013572327
