cutoff,alpha_0.00_wape,alpha_0.25_wape,alpha_0.50_wape,alpha_0.75_wape,alpha_1.00_wape
2024-09-21,0.1720105332749851,0.1788771393443898,0.18998766351587487,0.20566442219958073,0.22496024441957904
2024-10-21,0.19472148561292132,0.19399674465957023,0.1944914640800821,0.19611101819088778,0.19886535044828654
2024-11-20,0.19076956818515567,0.1901220889388587,0.19295325835946736,0.19956458670272867,0.20949287528885135
2024-12-20,0.16171605107877593,0.15562294185620887,0.1534154058974659,0.15446927390374096,0.15792828524718258
2025-01-19,0.14977108789949944,0.1438062229111908,0.1400667650738734,0.1385229816365335,0.13909587659419745
2025-02-18,0.21479281005673578,0.22869888034710426,0.2447686698320119,0.2631513734923408,0.2828328105635136
2025-03-20,0.12371934171170172,0.11853739766925672,0.11414292318676958,0.11061962952473398,0.10816396028941769
2025-04-20,0.16083049048073328,0.15703800399568793,0.1546886963733105,0.15372969831361297,0.15428263329048622
2025-05-21,0.3006047709735751,0.2917698637730931,0.28421561054839534,0.2781097710206387,0.273614917612441
2025-06-21,0.28584498128038205,0.2894435567645104,0.2941343253935767,0.3000035453727653,0.306766243184925
2025-07-22,0.19629166283181823,0.19468674412810016,0.1942372269177009,0.19479884835204803,0.19623499086988513
2025-08-22,0.2594213377251906,0.24666861841247806,0.23694711953057776,0.23009797496720502,0.22547826585958375
2025-09-22,0.14635097608060924,0.1392520029809478,0.13370989434824732,0.12984971016104765,0.12750274989107038
