cutoff,prior_oot_cutoffs,selected_alpha,prior_pooled_WAPE,CatBoost_a050_WAPE,selected_LightGBM_WAPE,improvement_vs_CatBoost
2024-10-21,1,0.25,0.1700880759682533,0.1944914640800821,0.18200087866772885,0.012490585412353261
2024-11-20,2,0.75,0.1708847821917919,0.19295325835946736,0.1994151701494228,-0.006461911789955449
2024-12-20,3,0.5,0.17689275077668656,0.1534154058974659,0.14883354611994767,0.004581859777518238
2025-01-19,4,0.5,0.17074124952409028,0.1400667650738734,0.14186291156204534,-0.0017961464881719458
2025-02-18,5,0.5,0.16455839225221383,0.2447686698320119,0.24087752407240845,0.0038911457596034482
2025-03-20,6,0.25,0.1767238932295377,0.11414292318676958,0.12181589365958541,-0.007672970472815829
2025-04-20,7,0.5,0.1568880657188117,0.1546886963733105,0.15491695468846814,-0.00022825831515763118
2025-05-21,8,0.5,0.15663248531805135,0.28421561054839534,0.2870170986439937,-0.002801488095598381
2025-06-21,9,0.5,0.17791090400335868,0.2941343253935767,0.29765108480956104,-0.0035167594159843385
2025-07-22,10,0.5,0.1884722486515154,0.1942372269177009,0.19218216660798484,0.002055060309716056
2025-08-22,11,0.5,0.18879059878656682,0.23694711953057776,0.24296179519946945,-0.006014675668891689
2025-09-22,12,0.5,0.19630067374771848,0.13370989434824732,0.1373620801110383,-0.0036521857627909715
