cutoff,train_cutoffs,Structural_V1_WAPE,CatBoost_WAPE,improvement_pp
2024-09-21,6,0.1720105332749851,0.22496024441957904,-5.294971114459393
2024-10-21,7,0.19472148561292132,0.19886535044828654,-0.41438648353652185
2024-11-20,8,0.19076956818515567,0.20949287528885135,-1.8723307103695686
2024-12-20,9,0.16171605107877593,0.15792828524718258,0.3787765831593348
2025-01-19,10,0.14977123743075868,0.13909587659419745,1.0675360836561232
2025-02-18,11,0.21479281005673578,0.2828328105635136,-6.804000050677783
2025-03-20,12,0.12372155661848443,0.10816396028941769,1.5557596329066739
2025-04-20,13,0.16083049048073328,0.15428263329048622,0.6547857190247058
2025-05-21,14,0.30060486048169327,0.273614917612441,2.698994286925227
2025-06-21,15,0.28584498346937237,0.306766243184925,-2.092125971555264
2025-07-22,16,0.19629166283181823,0.19623499086988513,0.005667196193309687
2025-08-22,17,0.2594213377251906,0.22547826585958375,3.3943071865606855
2025-09-22,18,0.14635097615975867,0.12750274989107038,1.884822626868829
