cutoff,Structural_V1_WAPE,no_cluster_WAPE,gamma_0.00_WAPE,gamma_0.25_WAPE,gamma_0.50_WAPE,gamma_0.75_WAPE,gamma_1.00_WAPE
2024-09-21,0.1720105332749851,0.18998766351587487,0.18998766351587487,0.18753384553977687,0.1854812371129362,0.18385020287956336,0.1826434345853123
2024-10-21,0.19472148561292132,0.1944914640800821,0.1944914640800821,0.19070286119625104,0.187123929400614,0.18378381113554318,0.18071381417563265
2024-11-20,0.19076956818515567,0.19295325835946736,0.19295325835946736,0.19250724310809586,0.19241872398082518,0.19259647675191244,0.193092928130102
2024-12-20,0.16171605107877593,0.1534154058974659,0.1534154058974659,0.15263107514215626,0.15210637761168977,0.15179563408457017,0.15179270986385254
2025-01-19,0.14977108789949944,0.1400667650738734,0.1400667650738734,0.1395304520026506,0.13908509245513978,0.13875592477231585,0.13855205643374832
2025-02-18,0.21479281005673578,0.2447686698320119,0.2447686698320119,0.2416910019942228,0.2387615911556635,0.23602599614139583,0.23360782724369683
2025-03-20,0.12371934171170172,0.11414292318676958,0.11414292318676958,0.11366630764312524,0.11331367101118782,0.11310766694207963,0.11305074945954342
2025-04-20,0.16083049048073328,0.1546886963733105,0.1546886963733105,0.1540026742051519,0.15342359073953013,0.15292738898479982,0.1525136880959096
2025-05-21,0.3006047709735751,0.28421561054839534,0.28421561054839534,0.28396441837816866,0.2837729172753596,0.2836134317518232,0.2834851106166358
2025-06-21,0.28584498128038205,0.2941343253935767,0.2941343253935767,0.2966167792539334,0.29927763310512867,0.3020572220015421,0.3049324848109348
2025-07-22,0.19629166283181823,0.1942372269177009,0.1942372269177009,0.19442905060051008,0.19478234313480966,0.19525397215401769,0.19582953597986633
2025-08-22,0.2594213377251906,0.23694711953057776,0.23694711953057776,0.237164434042789,0.23745802878038677,0.2378221389416083,0.23823348935201338
2025-09-22,0.14635097608060924,0.13370989434824732,0.13370989434824732,0.13514325241770914,0.13715839240060096,0.13936539991866165,0.14180801865705076
