alpha,arm,pooled_WAPE,mean_cutoff_WAPE,wins_vs_structural
1.0,without,0.1937864861398229,0.20040147719687842,8
1.0,with,0.19292740159585006,0.19825184189822603,8
0.5,without,0.19168710461471739,0.19444300177364254,9
0.5,with,0.19104699031586014,0.1930966036464845,9
