cutoff,Structural_V1_WAPE,CatBoost_a050_WAPE,LightGBM_a0.25_WAPE,LightGBM_a0.50_WAPE,LightGBM_a0.75_WAPE,LightGBM_a1.00_WAPE
2024-09-21,0.1720105332749851,0.18998766351587487,0.1700880759682533,0.17182503501972524,0.1768728851098466,0.18461064808164215
2024-10-21,0.19472148561292132,0.1944914640800821,0.18200087866772885,0.1713058951846182,0.1626687830311082,0.15699031804197577
2024-11-20,0.19076956818515567,0.19295325835946736,0.18723670368481796,0.18945417081381766,0.1994151701494228,0.21547542377069528
2024-12-20,0.16171605107877593,0.1534154058974659,0.15378333369752167,0.14883354611994767,0.14718583507740962,0.147891688868867
2025-01-19,0.14977108789949944,0.1400667650738734,0.14314030602824523,0.14186291156204534,0.14532608667583774,0.15412700137249416
2025-02-18,0.21479281005673578,0.2447686698320119,0.22662172158328875,0.24087752407240845,0.25677462443128846,0.2740952872541038
2025-03-20,0.12371934171170172,0.11414292318676958,0.12181589365958541,0.12039557770971904,0.11951791619026131,0.11911658608914544
2025-04-20,0.16083049048073328,0.1546886963733105,0.1570866854346816,0.15491695468846814,0.1543989612161591,0.15544597964392481
2025-05-21,0.3006047709735751,0.28421561054839534,0.2933349808254371,0.2870170986439937,0.2818446642627345,0.27775753159380784
2025-06-21,0.28584498128038205,0.2941343253935767,0.2910037166053131,0.29765108480956104,0.305325636605649,0.3139590201239438
2025-07-22,0.19629166283181823,0.1942372269177009,0.19370153847429994,0.19218216660798484,0.19164715201399693,0.19185288819239332
2025-08-22,0.2594213377251906,0.23694711953057776,0.2501064402463986,0.24296179519946945,0.23768574169906326,0.23401482067576185
2025-09-22,0.14635097608060924,0.13370989434824732,0.1413795792422885,0.1373620801110383,0.13433683644953193,0.1324634965956875
