alpha,pooled_wape,mean_cutoff_wape,median_cutoff_wape,winning_cutoffs_vs_structural,worst_degradation,worst_degradation_cutoff,best_improvement,best_improvement_cutoff
0.0,0.19715930432350384,0.1966803920916987,0.19076956818515567,0,-0.0,2024-09-21,0.0,2024-09-21
0.25,0.1934554675381175,0.19450155429087668,0.1901220889388587,10,0.013906070290368472,2025-02-18,0.012752719312712546,2025-08-22
0.5,0.19168710461471739,0.19444300177364254,0.19295325835946736,9,0.029975859775276115,2025-02-18,0.022474218194612844,2025-08-22
0.75,0.19187723928762576,0.19651483337214343,0.19611101819088778,8,0.04835856343560502,2025-02-18,0.029323362757985583,2025-08-22
1.0,0.1937864861398229,0.20040147719687842,0.19886535044828654,8,0.06804000050677783,2025-02-18,0.033943071865606855,2025-08-22
