cutoff,Structural_V1_WAPE,without_cluster_a100_WAPE,with_cluster_a100_WAPE,cluster_contribution_a100,without_cluster_a050_WAPE,with_cluster_a050_WAPE,cluster_contribution_a050
2024-09-21,0.1720105332749851,0.22496024441957904,0.20615774541679255,0.018802499002786494,0.18998766351587487,0.1826434345853123,0.00734422893056258
2024-10-21,0.19472148561292132,0.19886535044828654,0.1708988012950138,0.027966549153272735,0.1944914640800821,0.18071381417563265,0.013777649904449463
2024-11-20,0.19076956818515567,0.20949287528885135,0.21784137891379157,-0.008348503624940218,0.19295325835946736,0.193092928130102,-0.00013966977063464836
2024-12-20,0.16171605107877593,0.15792828524718258,0.15318776940906384,0.004740515838118742,0.1534154058974659,0.15179270986385254,0.001622696033613369
2025-01-19,0.14977108789949944,0.13909587659419745,0.13672664858291828,0.002369228011279173,0.1400667650738734,0.13855205643374832,0.0015147086401250676
2025-02-18,0.21479281005673578,0.2828328105635136,0.25965976190788803,0.023173048655625583,0.2447686698320119,0.23360782724369683,0.011160842588315067
2025-03-20,0.12371934171170172,0.10816396028941769,0.1072286925624195,0.0009352677269981874,0.11414292318676958,0.11305074945954342,0.0010921737272261561
2025-04-20,0.16083049048073328,0.15428263329048622,0.15339602552701523,0.0008866077634709923,0.1546886963733105,0.1525136880959096,0.002175008277400914
2025-05-21,0.3006047709735751,0.273614917612441,0.27230556296135205,0.0013093546510889453,0.28421561054839534,0.2834851106166358,0.000730499931759554
2025-06-21,0.28584498128038205,0.306766243184925,0.32898857482929017,-0.022222331644365156,0.2941343253935767,0.3049324848109348,-0.010798159417358122
2025-07-22,0.19629166283181823,0.19623499086988513,0.20243406143105627,-0.006199070561171138,0.1942372269177009,0.19582953597986633,-0.0015923090621654257
2025-08-22,0.2594213377251906,0.22547826585958375,0.22687556038460122,-0.0013972945250174673,0.23694711953057776,0.23823348935201338,-0.0012863698214356234
2025-09-22,0.14635097608060924,0.12750274989107038,0.1415733614557359,-0.01407061156466552,0.13370989434824732,0.14180801865705076,-0.00809812430880344
