alpha,pooled_WAPE,mean_cutoff_WAPE,median_cutoff_WAPE,wins_vs_Structural_V1,wins_vs_CatBoost_a050,worst_degradation_vs_CatBoost,worst_degradation_cutoff,best_improvement_vs_CatBoost,best_improvement_cutoff
0.25,0.19334829666689818,0.19317691185521998,0.18200087866772885,11,6,0.01315932071582085,2025-08-22,0.019899587547621583,2024-09-21
0.5,0.19150746895561277,0.19204968004175363,0.17182503501972524,11,6,0.006252654522949458,2025-03-20,0.023185568895463915,2024-10-21
0.75,0.19161532259487646,0.19330771483940845,0.1768728851098466,9,6,0.012005954599276558,2025-02-18,0.0318226810489739,2024-10-21
1.0,0.19351139739353154,0.1967538992541879,0.18461064808164215,8,7,0.029326617422091916,2025-02-18,0.03750114603810634,2024-10-21
